threshold,question,n_nodes,n_clusters,n_edges,edge_density,mean_edge_weight,total_edge_weight,structural_entropy,cluster_ids
0.2,Who discovered penicillin?,6,2,8,0.5333333333333333,0.5078272223472595,4.062617778778076,-1.426129937171936,"1,1,1,1,0,0"
0.25,Who discovered penicillin?,6,2,8,0.5333333333333333,0.5078272223472595,4.062617778778076,-1.426129937171936,"1,1,1,1,0,0"
0.3,Who discovered penicillin?,6,3,8,0.5333333333333333,0.5078481435775757,4.0627851486206055,-1.4263278245925903,"0,0,0,0,2,1"
0.35,Who discovered penicillin?,6,3,8,0.5333333333333333,0.5078481435775757,4.0627851486206055,-1.4263278245925903,"0,0,0,0,2,1"
0.4,Who discovered penicillin?,6,3,8,0.5333333333333333,0.5078481435775757,4.0627851486206055,-1.4263278245925903,"0,0,0,0,2,1"
