complexity_level,structural_entropy,n_nodes,n_clusters,n_edges,edge_density,mean_edge_weight,total_edge_weight
simple_factual,-1.4405499696731567,6,3,6,0.4,0.6649375557899475,3.9896252155303955
explanatory,-1.3867278099060059,6,3,6,0.4,0.48351263999938965,2.901075839996338
multi_claim,-1.5886086225509644,6,3,8,0.5333333333333333,0.3844568729400635,3.075655221939087
reasoning_heavy,-1.650362491607666,6,3,8,0.5333333333333333,0.50609290599823,4.04874324798584
contradictory_fabricated,-1.8096773624420166,6,2,11,0.7333333333333333,0.5173079371452332,5.69038724899292
