repeat,structural_entropy
1,-1.5472711324691772
2,-1.551498532295227
3,-1.6982494592666626
4,-1.13640558719635
5,-1.406712532043457

mean,-1.468027448654175
std,0.21212127156120625
min,-1.6982494592666626
max,-1.13640558719635
range,0.5618438720703125
coefficient_of_variation,0.14449407724335808
